Date,Day,Home,Division,League,Matchup,,,,Attend,IL?,Notes,
22-Mar,Sat,Dbacks,NL West,NL,LA Dodgers 3 at Arizona 1 (Reg. Season),Kershaw (1-0),Miley (0-1),Jansen (1),38266,,Australia,
22-Mar,Sat,Dbacks,NL West,NL,LA Dodgers 7 at Arizona 5 (Reg. Season),Ryu (1-0),Cahill (0-1),,38079,,Australia,
30-Mar,Sun,Padres,NL West,NL,at San Diego 3 LA Dodgers 1 (Reg. Season),Thayer (1-0),Wilson (0-1),Street (1),45567,,Opening Night,
31-Mar,Mon,Pirates,NL Central,NL,at Pittsburgh 1 Chicago Cubs 0,Morris (1-0),Villanueva (0-1),,39833,,,
31-Mar,Mon,Tigers,AL Central,AL,at Detroit 4 Kansas City 3,Nathan (1-0),Davis (0-1),,45068,,,
31-Mar,Mon,Mets,NL East,NL,Washington 9 at NY Mets 7,Barrett (1-0),Familia (0-1),,42442,,,
31-Mar,Mon,Rangers,AL West,AL,Philadelphia 14 at Texas 10,Lee (1-0),Figueroa (0-1),,49031,Y,,
31-Mar,Mon,Brewers,NL Central,NL,at Milwaukee 2 Atlanta 0,Gallardo (1-0),Teheran (0-1),Rodriguez (1),45691,,,
31-Mar,Mon,Orioles,AL East,AL,at Baltimore 2 Boston 1,Britton (1-0),Lester (0-1),Hunter (1),46685,,,
31-Mar,Mon,Reds,NL Central,NL,St. Louis 1 at Cincinnati 0,Wainwright (1-0),Cueto (0-1),Rosenthal (1),43134,,,
31-Mar,Mon,White Sox,AL Central,AL,at Chicago White Sox 5 Minnesota 3,Sale (1-0),Nolasco (0-1),Lindstrom (1),37422,,,
31-Mar,Mon,Rays,AL East,AL,at Tampa Bay 9 Toronto 2,Price (1-0),Dickey (0-1),,31042,,,
31-Mar,Mon,Marlins,NL East,NL,at Miami 10 Colorado 1,Fernandez (1-0),De La Rosa (0-1),,37116,,,
31-Mar,Mon,Dbacks,NL West,NL,San Francisco 9 at Arizona 8,Machi (1-0),Reed (0-1),Romo (1),48541,,,
31-Mar,Mon,Angels,AL West,AL,Seattle 10 at LA Angels 3,Hernandez (1-0),Weaver (0-1),,44152,,,
31-Mar,Mon,Athletics,AL West,AL,Cleveland 2 at Oakland 0,Allen (1-0),Johnson (0-1),Axford (1),36067,,,
1-Apr,Tues,Padres,NL West,NL,LA Dodgers 3 at San Diego 2,Greinke (1-0),Kennedy (0-1),Jansen (2),35033,,,
1-Apr,Tues,Astros,AL West,AL,at Houston 6 NY Yankees 2,Feldman (1-0),Sabathia (0-1),,42117,,,
1-Apr,Tues,Marlins,NL East,NL,at Miami 4 Colorado 3,Eovaldi (1-0),Anderson (0-1),Cishek (1),15906,,,
1-Apr,Tues,Rays,AL East,AL,Toronto 4 at Tampa Bay 2,Hutchison (1-0),Cobb (0-1),Santos (1),11113,,,
1-Apr,Tues,Rangers,AL West,AL,at Texas 3 Philadelphia 2,Soria (1-0),Hollands (0-1),,29530,Y,,
1-Apr,Tues,Brewers,NL Central,NL,Atlanta 5 at Milwaukee 2,Wood (1-0),Lohse (0-1),Kimbrel (1),21503,,,
1-Apr,Tues,Dbacks,NL West,NL,at Arizona 5 San Francisco 4,Miley (1-1),Gutierrez (0-1),Reed (1),18974,,,
1-Apr,Tues,Angels,AL West,AL,Seattle 8 at LA Angels 3,Ramirez (1-0),Wilson (0-1),,43567,,,
1-Apr,Tues,Athletics,AL West,AL,Cleveland at Oakland,Postponed,,,N/A,,,
2-Apr,Weds,Tigers,AL Central,AL,at Detroit 2 Kansas City 1,Alburquerque (1-0),Collins (0-1),,26906,,,
2-Apr,Weds,Brewers,NL Central,NL,Atlanta 1 at Milwaukee 0,Harang (1-0),Garza (0-1),Kimbrel (2),21712,,,
2-Apr,Weds,White Sox,AL Central,AL,at Chicago White Sox 7 Minnesota 6,Belisario (1-0),Deduno (0-1),,10625,,,
2-Apr,Weds,Athletics,AL West,AL,at Oakland 6 Cleveland 1,Kazmir (1-0),Kluber (0-1),,15134,,,
2-Apr,Weds,Orioles,AL East,AL,Boston 6 at Baltimore 2,Lackey (1-0),Jimenez (0-1),,25708,,,
2-Apr,Weds,Pirates,NL Central,NL,at Pittsburgh 4 Chicago Cubs 3,Pimentel (1-0),Villanueva (0-2),,29762,,,
2-Apr,Weds,Reds,NL Central,NL,at Cincinnati 1 St. Louis 0,Hoover (1-0),Martinez (0-1),,36189,,,
2-Apr,Weds,Mets,NL East,NL,Washington 5 at NY Mets 1,Gonzalez (1-0),Colon (0-1),,29146,,,
